customer_id,full_name,email_address,phone_number,pan_number,account_number,city,kyc_status,created_date
C1090,Priya Patel,priya.patel31@gmail.com,+918910491180,PIFRI2804I,358119220029,Delhi,verified,2025-12-10
C1091,Sneha Patel,sneha.patel61@gmail.com,+919512952109,MXDYL7346J,892239961619,Mumbai,pending,2025-10-17
C1092,Sneha Iyer,sneha.iyer17@gmail.com,+917137845240,RBDWL3804T,762692672629,Mumbai,verified,2026-03-23
C1093,Sneha Patel,sneha.patel53@gmail.com,+919240979855,MZPVH8014T,371642311274,Chennai,rejected,2026-03-24
C1094,Sneha Kumar,sneha.kumar74@gmail.com,+917021808033,KBZTN7974N,991116676403,Bengaluru,rejected,2026-02-09
C1095,Sneha Patel,sneha.patel72@gmail.com,+917053356336,SKFJG2486A,437880935152,Mumbai,rejected,2026-03-20
C1096,Amit Joshi,amit.joshi60@gmail.com,+917595385173,WKUJM1022W,521210443156,Chennai,verified,2025-10-30
C1097,Rohit Nair,rohit.nair90@gmail.com,+919630672799,OUUCW1898N,842642812822,Chennai,verified,2025-07-27
C1098,Rohit Iyer,rohit.iyer60@gmail.com,+919659157927,BJQSO4354D,363431517086,Hyderabad,verified,2026-04-29
C1099,Kavya Singh,kavya.singh97@gmail.com,+917968245518,IXNKB7108I,651844142553,Hyderabad,verified,2026-01-27
